Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,Location,Spp,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,Use.Ad.Data,delta.15.N,delta.13.C
2,2,2007/2008,1,PAL,ADPE,AD 1E,N1A2,TOR,11/11/2007,2007315,Yes,9,-24.7
3,3,2007/2008,1,PAL,ADPE,AD 1E,N2A1,TOR,11/16/2007,2007320,Yes,8.4,-25.3
5,5,2007/2008,1,PAL,ADPE,AD 1E,N3A1,TOR,11/16/2007,2007320,Yes,8.8,-25.3
6,6,2007/2008,1,PAL,ADPE,AD 1E,N3A2,TOR,11/16/2007,2007320,Yes,8.7,-25.3
10,10,2007/2008,1,PAL,ADPE,AD 1E,N5A2,TOR,11/9/2007,2007313,Yes,9.1,-25.1
11,11,2007/2008,1,PAL,ADPE,AD 1E,N6A1,TOR,11/9/2007,2007313,Yes,8.6,-25.2
15,15,2007/2008,1,PAL,ADPE,AD 1E,N8A1,TOR,11/16/2007,2007320,Yes,8.6,-25.2
17,17,2007/2008,1,PAL,ADPE,AD 1E,N9A1,TOR,11/12/2007,2007316,Yes,9.2,-25.1
18,18,2007/2008,1,PAL,ADPE,AD 1E,N9A2,TOR,11/12/2007,2007316,Yes,8.7,-25.1
19,19,2007/2008,1,PAL,ADPE,AD 1E,N10A1,TOR,11/16/2007,2007320,Yes,8.5,-25.2
20,20,2007/2008,1,PAL,ADPE,AD 1E,N10A2,TOR,11/16/2007,2007320,Yes,9.1,-24.8
21,21,2007/2008,1,PAL,ADPE,AD 1E,N11A1,BIS,11/12/2007,2007316,Yes,8.7,-25.1
22,22,2007/2008,1,PAL,ADPE,AD 1E,N11A2,BIS,11/12/2007,2007316,Yes,8.7,-25.1
23,23,2007/2008,1,PAL,ADPE,AD 1E,N12A1,BIS,11/12/2007,2007316,Yes,9.2,-25
24,24,2007/2008,1,PAL,ADPE,AD 1E,N12A2,BIS,11/12/2007,2007316,Yes,8.4,-25.2
25,25,2007/2008,1,PAL,ADPE,AD 1E,N13A1,BIS,11/10/2007,2007314,Yes,9.6,-25.3
26,26,2007/2008,1,PAL,ADPE,AD 1E,N13A2,BIS,11/10/2007,2007314,Yes,9.2,-24.4
27,27,2007/2008,1,PAL,ADPE,AD 1E,N17A1,BIS,11/12/2007,2007316,Yes,8.9,-25.4
28,28,2007/2008,1,PAL,ADPE,AD 1E,N17A2,BIS,11/12/2007,2007316,Yes,8.1,-25.5
31,31,2007/2008,1,PAL,ADPE,AD 1E,N21A1,DRE,11/9/2007,2007313,Yes,9.7,-25.1
32,32,2007/2008,1,PAL,ADPE,AD 1E,N21A2,DRE,11/9/2007,2007313,Yes,9.7,-25
33,33,2007/2008,1,PAL,ADPE,AD 1E,N22A1,DRE,11/9/2007,2007313,Yes,9.7,-25.1
34,34,2007/2008,1,PAL,ADPE,AD 1E,N22A2,DRE,11/9/2007,2007313,Yes,8.8,-25.1
35,35,2007/2008,1,PAL,ADPE,AD 1E,N23A1,DRE,11/16/2007,2007320,Yes,9.2,-25.2
36,36,2007/2008,1,PAL,ADPE,AD 1E,N23A2,DRE,11/16/2007,2007320,Yes,9.2,-25
37,37,2007/2008,1,PAL,ADPE,AD 1E,N24A1,DRE,11/16/2007,2007320,Yes,9.2,-25.1
38,38,2007/2008,1,PAL,ADPE,AD 1E,N24A2,DRE,11/16/2007,2007320,Yes,8,-25.5
41,41,2007/2008,1,PAL,ADPE,AD 1E,N26A1,DRE,11/16/2007,2007320,Yes,9.7,-24.4
43,43,2007/2008,1,PAL,ADPE,AD 1E,N27A1,DRE,11/19/2007,2007323,Yes,9.5,-25
44,44,2007/2008,1,PAL,ADPE,AD 1E,N27A2,DRE,11/19/2007,2007323,Yes,9.2,-24.5
45,45,2007/2008,1,PAL,ADPE,AD 1E,N28A1,DRE,11/16/2007,2007320,Yes,9.4,-25
46,46,2007/2008,1,PAL,ADPE,AD 1E,N28A2,DRE,11/16/2007,2007320,Yes,9.5,-24.1
49,49,2007/2008,1,PAL,ADPE,AD 1E,N30A1,DRE,11/13/2007,2007317,Yes,9.5,-25.1
50,50,2007/2008,1,PAL,ADPE,AD 1E,N30A2,DRE,11/13/2007,2007317,Yes,8.9,-25.2
51,51,2008/2009,2,PAL,ADPE,AD 1E,N21A1,BIS,11/6/2008,2008311,Yes,8.5,-26.1
52,52,2008/2009,2,PAL,ADPE,AD 1E,N21A2,BIS,11/6/2008,2008311,Yes,8.5,-26.6
53,53,2008/2009,2,PAL,ADPE,AD 1E,N22A1,BIS,11/9/2008,2008314,Yes,8.2,-26.2
54,54,2008/2009,2,PAL,ADPE,AD 1E,N22A2,BIS,11/9/2008,2008314,Yes,8.5,-26.3
55,55,2008/2009,2,PAL,ADPE,AD 1E,N23A1,BIS,11/9/2008,2008314,Yes,8.4,-26.5
56,56,2008/2009,2,PAL,ADPE,AD 1E,N23A2,BIS,11/9/2008,2008314,Yes,8.4,-26.3
57,57,2008/2009,2,PAL,ADPE,AD 1E,N24A1,BIS,11/15/2008,2008320,Yes,8.6,-26.1
58,58,2008/2009,2,PAL,ADPE,AD 1E,N24A2,BIS,11/15/2008,2008320,Yes,8.6,-26
59,59,2008/2009,2,PAL,ADPE,AD 1E,N25A1,BIS,11/15/2008,2008320,Yes,9.1,-25.9
60,60,2008/2009,2,PAL,ADPE,AD 1E,N25A2,BIS,11/15/2008,2008320,Yes,9.1,-25.9
61,61,2008/2009,2,PAL,ADPE,AD 1E,N27A1,BIS,11/13/2008,2008318,Yes,9,-26.4
