Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,L.grid.SI.Dur.days,L.grid.SI.Area.1,L.grid.SI.Area.2,Location,Spp,Stage,ID.I,ID.2,ID.3,Island,Date.E1,JulianDate.E1,Date.E1.RelNov1,Date.Sample,JulianDate.Sample,Use.Ad.Data,Cul.L.mm,Cul.D.mm,Flipper.L.mm,R.PC1.2,Mass.g,Sex.1.M.F,Sex.2.M.F,Gel.num,Egg.Mass.g,Egg.L.mm,Egg.W.mm,delta.15.N,delta.13.C
2,2,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N1,A2,N1A2,TOR,11/11/2007,2007315,11,11/11/2007,2007315,Yes,39.5,17.4,186,-0.62903,3800,FEMALE,1,6b,135,70,58.2,9,-24.7
3,3,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N2,A1,N2A1,TOR,11/16/2007,2007320,16,11/16/2007,2007320,Yes,40.3,18,195,0.59317,3250,FEMALE,1,9,123,72.8,54.5,8.4,-25.3
5,5,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N3,A1,N3A1,TOR,11/16/2007,2007320,16,11/16/2007,2007320,Yes,36.7,19.3,193,0.24699,3450,FEMALE,1,3,127,72.5,55.9,8.8,-25.3
6,6,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N3,A2,N3A2,TOR,11/16/2007,2007320,16,11/16/2007,2007320,Yes,39.3,20.6,190,1.20515,3650,MALE,0,3,127,72.5,55.9,8.7,-25.3
10,10,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N5,A2,N5A2,TOR,11/9/2007,2007313,9,11/9/2007,2007313,Yes,42,20.2,190,1.61663,4250,MALE,0,Pred,126,71.3,55.4,9.1,-25.1
11,11,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N6,A1,N6A1,TOR,11/9/2007,2007313,9,11/9/2007,2007313,Yes,37.8,17.1,186,-1.15438,3300,FEMALE,1,Pred,116,70.3,54,8.6,-25.2
15,15,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N8,A1,N8A1,TOR,11/16/2007,2007320,16,11/16/2007,2007320,Yes,34.6,21.1,198,1.06401,4400,MALE,0,9,122,64.3,56.7,8.6,-25.2
17,17,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N9,A1,N9A1,TOR,11/12/2007,2007316,12,11/12/2007,2007316,Yes,38.7,19,195,0.71747,3450,FEMALE,1,9,120,70.4,55.5,9.2,-25.1
18,18,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N9,A2,N9A2,TOR,11/12/2007,2007316,12,11/12/2007,2007316,Yes,42.5,20.7,197,2.55595,4500,MALE,0,9,120,70.4,55.5,8.7,-25.1
19,19,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N10,A1,N10A1,TOR,11/16/2007,2007320,16,11/16/2007,2007320,Yes,34.4,18.4,184,-1.45578,3325,FEMALE,1,9,127,72.4,55.5,8.5,-25.2
