Sample.Num.Overall,Sample.Num.Spp,Year.1,Year.2,L.grid.SI.Dur.days,L.grid.SI.Area.1,L.grid.SI.Area.2,Location,Spp,Stage,ID.I,ID.2,ID.3,Island,Date.E1,JulianDate.E1,Date.E1.RelNov1,Date.Sample,JulianDate.Sample,Use.Ad.Data,delta.15.N,delta.13.C
2,2,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N1,A2,N1A2,TOR,11/11/07,2007315,11,11/11/07,2007315,Yes,9,-24.7
3,3,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N2,A1,N2A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.4,-25.3
5,5,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N3,A1,N3A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.8,-25.3
6,6,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N3,A2,N3A2,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.7,-25.3
10,10,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N5,A2,N5A2,TOR,11/9/07,2007313,9,11/9/07,2007313,Yes,9.1,-25.1
11,11,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N6,A1,N6A1,TOR,11/9/07,2007313,9,11/9/07,2007313,Yes,8.6,-25.2
15,15,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N8,A1,N8A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.6,-25.2
17,17,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N9,A1,N9A1,TOR,11/12/07,2007316,12,11/12/07,2007316,Yes,9.2,-25.1
18,18,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N9,A2,N9A2,TOR,11/12/07,2007316,12,11/12/07,2007316,Yes,8.7,-25.1
19,19,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N10,A1,N10A1,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,8.5,-25.2
20,20,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N10,A2,N10A2,TOR,11/16/07,2007320,16,11/16/07,2007320,Yes,9.1,-24.8
21,21,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A1,N11A1,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.7,-25.1
22,22,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N11,A2,N11A2,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.7,-25.1
23,23,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A1,N12A1,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,9.2,-25
24,24,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N12,A2,N12A2,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.4,-25.2
25,25,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A1,N13A1,BIS,11/10/07,2007314,10,11/10/07,2007314,Yes,9.6,-25.3
26,26,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N13,A2,N13A2,BIS,11/10/07,2007314,10,11/10/07,2007314,Yes,9.2,-24.4
27,27,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A1,N17A1,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.9,-25.4
28,28,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N17,A2,N17A2,BIS,11/12/07,2007316,12,11/12/07,2007316,Yes,8.1,-25.5
31,31,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A1,N21A1,DRE,11/9/07,2007313,9,11/9/07,2007313,Yes,9.7,-25.1
32,32,20072008,1,144,73472.77,75745.07,PAL,ADPE,AD 1E,N21,A2,N21A2,DRE,11/9/07,2007313,9,11/9/07,2007313,Yes,9.7,-25
