Sample.Num.Overall,Year.1,Year.2,Location,Spp,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,delta.15.N,delta.13.C
1,2007/2008,1,PAL,ADPE,CK POP,PAL POP 1,DRE,1/28/08,2008028,7.2,-27.7
2,2007/2008,1,PAL,ADPE,CK POP,PAL POP 2,DRE,1/28/08,2008028,7,-27.7
3,2007/2008,1,PAL,ADPE,CK POP,PAL POP 3,DRE,1/28/08,2008028,7,-27.8
4,2007/2008,1,PAL,ADPE,CK POP,PAL POP 4,DRE,1/28/08,2008028,7.3,-27.4
5,2007/2008,1,PAL,ADPE,CK POP,PAL POP 5,DRE,1/28/08,2008028,7.1,-27.6
6,2007/2008,1,PAL,ADPE,CK POP,PAL POP 6,TOR,1/28/08,2008028,7.3,-27.8
7,2007/2008,1,PAL,ADPE,CK POP,PAL POP 7,TOR,1/28/08,2008028,7.2,-27.6
8,2007/2008,1,PAL,ADPE,CK POP,PAL POP 8,TOR,1/28/08,2008028,7.1,-27.7
9,2007/2008,1,PAL,ADPE,CK POP,PAL POP 9,TOR,1/28/08,2008028,7.2,-27.6
10,2007/2008,1,PAL,ADPE,CK POP,PAL POP 10,TOR,1/28/08,2008028,7,-27.9
11,2007/2008,1,PAL,ADPE,CK POP,PAL POP 11,BIS,1/29/08,2008029,7.1,-27.8
12,2007/2008,1,PAL,ADPE,CK POP,PAL POP 12,BIS,1/29/08,2008029,7.1,-27.7
13,2007/2008,1,PAL,ADPE,CK POP,PAL POP 13,BIS,1/29/08,2008029,6.9,-27.7
14,2007/2008,1,PAL,ADPE,CK POP,PAL POP 14,BIS,1/29/08,2008029,7.3,-27.5
15,2007/2008,1,PAL,ADPE,CK POP,PAL POP 15,BIS,1/29/08,2008029,7,-27.8
16,2007/2008,1,PAL,CHPE,CK POP,PAL POP 1,DRE,2/8/08,2008039,6.5,-27.5
17,2007/2008,1,PAL,CHPE,CK POP,PAL POP 2,DRE,2/8/08,2008039,7.2,-27.4
18,2007/2008,1,PAL,CHPE,CK POP,PAL POP 3,DRE,2/8/08,2008039,6.7,-27.6
19,2007/2008,1,PAL,CHPE,CK POP,PAL POP 4,DRE,2/8/08,2008039,7.4,-27.4
20,2007/2008,1,PAL,CHPE,CK POP,PAL POP 5,DRE,2/8/08,2008039,7.1,-27.2
21,2007/2008,1,PAL,CHPE,CK POP,PAL POP 6,DRE,2/8/08,2008039,7.2,-27.5
22,2007/2008,1,PAL,CHPE,CK POP,PAL POP 7,DRE,2/8/08,2008039,7.1,-27.8
23,2007/2008,1,PAL,CHPE,CK POP,PAL POP 8,DRE,2/8/08,2008039,6.8,-27.6
24,2007/2008,1,PAL,CHPE,CK POP,PAL POP 9,DRE,2/8/08,2008039,7.3,-27.6
25,2007/2008,1,PAL,CHPE,CK POP,PAL POP 10,DRE,2/8/08,2008039,6.7,-27.4
26,2007/2008,1,PAL,GEPE,CK POP,PAL POP 1,BIS,2/3/08,2008034,7.6,-27.7
27,2007/2008,1,PAL,GEPE,CK POP,PAL POP 2,BIS,2/3/08,2008034,7.6,-27.4
28,2007/2008,1,PAL,GEPE,CK POP,PAL POP 3,BIS,2/3/08,2008034,7.6,-27.9
29,2007/2008,1,PAL,GEPE,CK POP,PAL POP 4,BIS,2/3/08,2008034,8.1,-26.9
30,2007/2008,1,PAL,GEPE,CK POP,PAL POP 5,BIS,2/3/08,2008034,8,-27.4
31,2007/2008,1,PAL,GEPE,CK POP,PAL POP 6,BIS,2/3/08,2008034,8.5,-27.2
32,2007/2008,1,PAL,GEPE,CK POP,PAL POP 7,BIS,2/3/08,2008034,7.5,-27.4
33,2007/2008,1,PAL,GEPE,CK POP,PAL POP 8,BIS,2/3/08,2008034,8.1,-27.5
34,2007/2008,1,PAL,GEPE,CK POP,PAL POP 9,BIS,2/3/08,2008034,7.7,-27.6
35,2007/2008,1,PAL,GEPE,CK POP,PAL POP 10,BIS,2/3/08,2008034,8,-27.5
36,2007/2008,1,PAL,GEPE,CK POP,PAL POP 11,BIS,2/3/08,2008034,7.4,-27.4
37,2007/2008,1,PAL,GEPE,CK POP,PAL POP 12,BIS,2/3/08,2008034,8.6,-26.8
38,2007/2008,1,PAL,GEPE,CK POP,PAL POP 13,BIS,2/3/08,2008034,7.9,-27.4
39,2007/2008,1,PAL,GEPE,CK POP,PAL POP 14,BIS,2/3/08,2008034,7.7,-27.5
40,2007/2008,1,PAL,GEPE,CK POP,PAL POP 15,BIS,2/3/08,2008034,7.6,-27.2
66,2008/2009,2,PAL,ADPE,CK POP,PAL POP C1,TOR,1/22/09,2009022,7.3,-28.1
67,2008/2009,2,PAL,ADPE,CK POP,PAL POP C2,TOR,1/22/09,2009022,7.3,-28
68,2008/2009,2,PAL,ADPE,CK POP,PAL POP C3,TOR,1/22/09,2009022,7.7,-28.1
