Sample.Num.Overall,Sample.Num.Yr,Year.1,Year.2,Location,Spp,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,delta.15.N,delta.13.C
1,1,2007/2008,1,PAL,ADPE,CK POP,PAL POP 1,DRE,1/28/2008,2008028,7.2,-27.7
2,2,2007/2008,1,PAL,ADPE,CK POP,PAL POP 2,DRE,1/28/2008,2008028,7,-27.7
3,3,2007/2008,1,PAL,ADPE,CK POP,PAL POP 3,DRE,1/28/2008,2008028,7,-27.8
4,4,2007/2008,1,PAL,ADPE,CK POP,PAL POP 4,DRE,1/28/2008,2008028,7.3,-27.4
5,5,2007/2008,1,PAL,ADPE,CK POP,PAL POP 5,DRE,1/28/2008,2008028,7.1,-27.6
6,6,2007/2008,1,PAL,ADPE,CK POP,PAL POP 6,TOR,1/28/2008,2008028,7.3,-27.8
7,7,2007/2008,1,PAL,ADPE,CK POP,PAL POP 7,TOR,1/28/2008,2008028,7.2,-27.6
8,8,2007/2008,1,PAL,ADPE,CK POP,PAL POP 8,TOR,1/28/2008,2008028,7.1,-27.7
9,9,2007/2008,1,PAL,ADPE,CK POP,PAL POP 9,TOR,1/28/2008,2008028,7.2,-27.6
10,10,2007/2008,1,PAL,ADPE,CK POP,PAL POP 10,TOR,1/28/2008,2008028,7,-27.9
11,11,2007/2008,1,PAL,ADPE,CK POP,PAL POP 11,BIS,1/29/2008,2008029,7.1,-27.8
12,12,2007/2008,1,PAL,ADPE,CK POP,PAL POP 12,BIS,1/29/2008,2008029,7.1,-27.7
13,13,2007/2008,1,PAL,ADPE,CK POP,PAL POP 13,BIS,1/29/2008,2008029,6.9,-27.7
14,14,2007/2008,1,PAL,ADPE,CK POP,PAL POP 14,BIS,1/29/2008,2008029,7.3,-27.5
15,15,2007/2008,1,PAL,ADPE,CK POP,PAL POP 15,BIS,1/29/2008,2008029,7,-27.8
41,41,2007/2008,1,AVI,ADPE,CK POP,AVI POP 1,AVI,1/29/2008,2008029,8.3,-26.2
42,42,2007/2008,1,AVI,ADPE,CK POP,AVI POP 2,AVI,1/29/2008,2008029,8,-26.4
43,43,2007/2008,1,AVI,ADPE,CK POP,AVI POP 3,AVI,1/29/2008,2008029,8.5,-25.6
44,44,2007/2008,1,AVI,ADPE,CK POP,AVI POP 4,AVI,1/29/2008,2008029,8.6,-26.1
45,45,2007/2008,1,AVI,ADPE,CK POP,AVI POP 5,AVI,1/29/2008,2008029,8.5,-25.7
46,46,2007/2008,1,AVI,ADPE,CK POP,AVI POP 6,AVI,1/29/2008,2008029,8.8,-25.9
47,47,2007/2008,1,AVI,ADPE,CK POP,AVI POP 7,AVI,1/29/2008,2008029,8.2,-25.8
48,48,2007/2008,1,AVI,ADPE,CK POP,AVI POP 8,AVI,1/29/2008,2008029,8.8,-25.9
49,49,2007/2008,1,AVI,ADPE,CK POP,AVI POP 9,AVI,1/29/2008,2008029,8.7,-25.6
50,50,2007/2008,1,AVI,ADPE,CK POP,AVI POP 10,AVI,1/29/2008,2008029,9,-26
51,51,2007/2008,1,AVI,ADPE,CK POP,AVI POP 11,AVI,1/29/2008,2008029,8.6,-26.3
52,52,2007/2008,1,AVI,ADPE,CK POP,AVI POP 12,AVI,1/29/2008,2008029,8.9,-25.6
53,53,2007/2008,1,AVI,ADPE,CK POP,AVI POP 13,AVI,1/29/2008,2008029,9,-25.7
54,54,2007/2008,1,AVI,ADPE,CK POP,AVI POP 14,AVI,1/29/2008,2008029,8.8,-26.1
55,55,2007/2008,1,AVI,ADPE,CK POP,AVI POP 15,AVI,1/29/2008,2008029,8.5,-26.4
56,56,2007/2008,1,AVI,ADPE,CK POP,AVI POP 16,AVI,1/29/2008,2008029,8.6,-26.4
57,57,2007/2008,1,AVI,ADPE,CK POP,AVI POP 17,AVI,1/29/2008,2008029,8.5,-26.2
58,58,2007/2008,1,AVI,ADPE,CK POP,AVI POP 18,AVI,1/29/2008,2008029,8.5,-26.4
59,59,2007/2008,1,AVI,ADPE,CK POP,AVI POP 19,AVI,1/29/2008,2008029,8.4,-26.5
60,60,2007/2008,1,AVI,ADPE,CK POP,AVI POP 20,AVI,1/29/2008,2008029,8.6,-26.1
61,61,2007/2008,1,AVI,ADPE,CK POP,AVI POP 21,AVI,1/29/2008,2008029,8.1,-26.1
62,62,2007/2008,1,AVI,ADPE,CK POP,AVI POP 22,AVI,1/29/2008,2008029,8.5,-25.6
63,63,2007/2008,1,AVI,ADPE,CK POP,AVI POP 23,AVI,1/29/2008,2008029,8.5,-26.3
64,64,2007/2008,1,AVI,ADPE,CK POP,AVI POP 24,AVI,1/29/2008,2008029,8.7,-25.5
65,65,2007/2008,1,AVI,ADPE,CK POP,AVI POP 25,AVI,1/29/2008,2008029,8.6,-25.4
604,66,2008/2009,2,PAL,ADPE,CK POP,PAL POP C1,TOR,1/22/2009,2009022,7.3,-28.1
605,67,2008/2009,2,PAL,ADPE,CK POP,PAL POP C2,TOR,1/22/2009,2009022,7.3,-28
606,68,2008/2009,2,PAL,ADPE,CK POP,PAL POP C3,TOR,1/22/2009,2009022,7.7,-28.1
607,69,2008/2009,2,PAL,ADPE,CK POP,PAL POP C4,TOR,1/22/2009,2009022,8.2,-28
608,70,2008/2009,2,PAL,ADPE,CK POP,PAL POP C5,TOR,1/22/2009,2009022,7.7,-28
609,71,2008/2009,2,PAL,ADPE,CK POP,PAL POP C6,BIS,1/23/2009,2009023,7.8,-28.2
610,72,2008/2009,2,PAL,ADPE,CK POP,PAL POP C7,BIS,1/23/2009,2009023,7.7,-28
611,73,2008/2009,2,PAL,ADPE,CK POP,PAL POP C8,BIS,1/23/2009,2009023,8.2,-28.1
613,75,2008/2009,2,PAL,ADPE,CK POP,PAL POP C10,BIS,1/23/2009,2009023,7.9,-28.1
614,76,2008/2009,2,PAL,ADPE,CK POP,PAL POP C11,DRE,1/23/2009,2009023,7.8,-27.9
615,77,2008/2009,2,PAL,ADPE,CK POP,PAL POP C12,DRE,1/23/2009,2009023,7.7,-27.7
616,78,2008/2009,2,PAL,ADPE,CK POP,PAL POP C13,DRE,1/23/2009,2009023,8,-27.6
617,79,2008/2009,2,PAL,ADPE,CK POP,PAL POP C14,DRE,1/23/2009,2009023,8.1,-27.9
618,80,2008/2009,2,PAL,ADPE,CK POP,PAL POP C15,DRE,1/23/2009,2009023,7.8,-27.9
619,81,2008/2009,2,PAL,ADPE,CK POP,PAL POP C16,DRE,1/23/2009,2009023,8.6,-27.8
620,82,2008/2009,2,PAL,ADPE,CK POP,PAL POP C17,TOR,1/23/2009,2009023,7.9,-27.9
653,115,2008/2009,2,AVI,ADPE,CK POP,AVI POP1,AVI,1/23/2009,2009023,8.3,-25.7
654,116,2008/2009,2,AVI,ADPE,CK POP,AVI POP2,AVI,1/23/2009,2009023,8.2,-25.6
655,117,2008/2009,2,AVI,ADPE,CK POP,AVI POP3,AVI,1/23/2009,2009023,8.5,-25.3
656,118,2008/2009,2,AVI,ADPE,CK POP,AVI POP4,AVI,1/23/2009,2009023,8.1,-25.8
657,119,2008/2009,2,AVI,ADPE,CK POP,AVI POP5,AVI,1/23/2009,2009023,8.1,-25.6
658,120,2008/2009,2,AVI,ADPE,CK POP,AVI POP6,AVI,1/23/2009,2009023,8.4,-25.6
659,121,2008/2009,2,AVI,ADPE,CK POP,AVI POP7,AVI,1/23/2009,2009023,8.4,-25.4
