Sample.Num.Overall,Year.1,Year.2,Location,Spp,Stage,ID.3,Nest,Island,Date.sample8,Date.sample9,Use.ck.data,delta.15.N,delta.13.C
112,2007,1,PAL,ADPE,CK D15,N1C1D15,1,TOR,1/04/2008,2008004,Yes,7.6,-26.9
115,2007,1,PAL,ADPE,CK D15,N2C1D15,2,TOR,1/06/2008,2008006,Yes,7.5,-27.1
116,2007,1,PAL,ADPE,CK D15,N2C2D15,2,TOR,1/06/2008,2008006,Yes,7.4,-27
119,2007,1,PAL,ADPE,CK D15,N3C1D15,3,TOR,1/06/2008,2008006,Yes,7.1,-27
120,2007,1,PAL,ADPE,CK D15,N3C2D15,3,TOR,1/06/2008,2008006,Yes,7.2,-27
122,2007,1,PAL,ADPE,CK D15,N5C1D15,4,TOR,1/01/2008,2008001,Yes.Est,7.6,-26.7
125,2007,1,PAL,ADPE,CK D15,N6C1D15,5,TOR,1/01/2008,2008001,Yes,7.3,-26.8
126,2007,1,PAL,ADPE,CK D15,N6C2D15,5,TOR,1/01/2008,2008001,Yes,7.7,-26.4
129,2007,1,PAL,ADPE,CK D15,N7C1D15,6,TOR,1/06/2008,2008006,Yes,7.4,-27.2
130,2007,1,PAL,ADPE,CK D15,N7C2D15,6,TOR,1/06/2008,2008006,Yes,7.3,-27.3
133,2007,1,PAL,ADPE,CK D15,N8C1D15,7,TOR,1/06/2008,2008006,Yes,7.4,-27.1
134,2007,1,PAL,ADPE,CK D15,N8C2D15,7,TOR,1/06/2008,2008006,Yes,7.4,-27.2
137,2007,1,PAL,ADPE,CK D15,N9C1D15,8,TOR,1/02/2008,2008002,Yes,7.3,-27.1
138,2007,1,PAL,ADPE,CK D15,N9C2D15,8,TOR,1/02/2008,2008002,Yes,7.2,-27.1
142,2007,1,PAL,ADPE,CK D15,N10C2D15,9,TOR,1/07/2008,2008007,Yes,7.4,-27.3
145,2007,1,PAL,ADPE,CK D15,N11C1D15,10,BIS,1/03/2008,2008003,Yes.Est,7.4,-27
146,2007,1,PAL,ADPE,CK D15,N11C2D15,10,BIS,1/03/2008,2008003,Yes.Est,7.4,-26.9
148,2007,1,PAL,ADPE,CK D15,N12C1D15,11,BIS,1/03/2008,2008003,Yes.Est,7.7,-26.4
