Sample.Num.Overall,Year.1,Year.2,Location,Spp,Stage,ID.3,Nest,Island,Date.sample,JulianDate,Use.ck.data,delta.15.N,delta.13.C
111,2007,1,PAL,ADPE,CK D5,N1C1D5,1,TOR,12/25/2007,2007359,Yes,8.3,-25.9
113,2007,1,PAL,ADPE,CK D5,N2C1D5,2,TOR,12/27/2007,2007361,Yes,8.2,-25.9
114,2007,1,PAL,ADPE,CK D5,N2C2D5,2,TOR,12/27/2007,2007361,Yes,8.9,-25.6
117,2007,1,PAL,ADPE,CK D5,N3C1D5,3,TOR,12/27/2007,2007361,Yes,7.9,-26.2
118,2007,1,PAL,ADPE,CK D5,N3C2D5,3,TOR,12/27/2007,2007361,Yes,8.3,-26.1
123,2007,1,PAL,ADPE,CK D5,N6C1D5,5,TOR,12/22/2007,2007356,Yes,7.9,-25.5
124,2007,1,PAL,ADPE,CK D5,N6C2D5,5,TOR,12/22/2007,2007356,Yes,8.5,-25.6
127,2007,1,PAL,ADPE,CK D5,N7C1D5,6,TOR,12/27/2007,2007361,Yes,8.3,-26.3
128,2007,1,PAL,ADPE,CK D5,N7C2D5,6,TOR,12/27/2007,2007361,Yes,9.6,-25.4
131,2007,1,PAL,ADPE,CK D5,N8C1D5,7,TOR,12/27/2007,2007361,Yes,7.9,-26.2
132,2007,1,PAL,ADPE,CK D5,N8C2D5,7,TOR,12/27/2007,2007361,Yes,8.2,-26.1
135,2007,1,PAL,ADPE,CK D5,N9C1D5,8,TOR,12/24/2007,2007358,Yes.Est,8.2,-25.8
136,2007,1,PAL,ADPE,CK D5,N9C2D5,8,TOR,12/24/2007,2007358,Yes.Est,8.5,-25.9
139,2007,1,PAL,ADPE,CK D5,N10C1D5,9,TOR,12/29/2007,2007363,Yes.Est,7.5,-27
140,2007,1,PAL,ADPE,CK D5,N10C2D5,9,TOR,12/29/2007,2007363,Yes.Est,7.3,-26.2
147,2007,1,PAL,ADPE,CK D5,N12C1D5,10,BIS,12/23/2007,2007357,Yes.Est,8.6,-25.2
149,2007,1,PAL,ADPE,CK D5,N13C1D5,11,BIS,12/21/2007,2007355,Yes.Est,8.7,-24.9
150,2007,1,PAL,ADPE,CK D5,N13C2D5,11,BIS,12/21/2007,2007355,Yes.Est,9.4,-24.8
153,2007,1,PAL,ADPE,CK D5,N17C1D5,12,BIS,12/23/2007,2007357,Yes.Est,8.3,-25.4
154,2007,1,PAL,ADPE,CK D5,N17C2D5,12,BIS,12/23/2007,2007357,Yes.Est,8.6,-25.5
157,2007,1,PAL,ADPE,CK D5,N18C1D5,13,BIS,12/21/2007,2007355,Yes.Est,8.2,-25.1
168,2007,1,PAL,ADPE,CK D5,N24C1D5,14,DRE,12/27/2007,2007361,Yes.Est,8,-26
