Group	d15N	d13C
1	8.191	-26.383
1	7.666	-26.235
1	7.558	-26.256
1	7.487	-26.322
1	7.881	-26.566
1	7.289	-26.708
1	7.677	-26.584
1	7.57	-26.624
1	7.538	-26.72
1	7.803	-26.541
1	7.59	-26.698
1	7.657	-26.763
1	7.855	-26.566
1	7.599	-26.725
1	7.599	-26.907
1	7.733	-26.795
2	7.87	-26.722
2	7.853	-26.81
2	7.498	-26.661
2	7.986	-26.362
2	7.814	-26.741
2	7.685	-26.666
2	7.843	-26.655
2	7.778	-26.685
2	7.695	-26.63
2	7.925	-26.552
2	7.667	-26.765
2	7.988	-26.795
2	7.617	-26.573
2	7.619	-26.704
2	7.994	-26.686
3	7.996	-26.167
3	7.829	-26.146
3	7.601	-26.194
3	7.539	-26.269
3	7.749	-26.136
3	7.752	-26.252
3	7.95	-26.056
3	7.719	-26.155
3	7.797	-26.333
3	7.503	-26.114
3	7.907	-26.087
3	7.824	-26.262
3	8.073	-25.979
3	8.278	-25.909
