iso1	iso2	group	community
-27.681	7.204	1	1
-27.653	7.000	1	1
-27.787	6.981	1	1
-27.388	7.273	1	1
-27.619	7.066	1	1
-27.801	7.300	1	1
-27.577	7.177	1	1
-27.654	7.103	1	1
-27.602	7.228	1	1
-27.868	6.986	1	1
-27.808	7.098	1	1
-27.704	7.122	1	1
-27.718	6.877	1	1
-27.448	7.338	1	1
-27.754	6.998	1	1
-27.514	6.532	1	2
-27.436	7.202	1	2
-27.546	6.685	1	2
-27.441	7.393	1	2
-27.236	7.125	1	2
-27.536	7.233	1	2
-27.767	7.140	1	2
-27.601	6.810	1	2
-27.586	7.345	1	2
-27.413	6.675	1	2
-27.681	7.636	1	3
-27.346	7.596	1	3
-27.856	7.566	1	3
-26.880	8.066	1	3
-27.424	7.950	1	3
-27.221	8.445	1	3
-27.403	7.506	1	3
-27.529	8.047	1	3
-27.636	7.647	1	3
-27.461	7.974	1	3
-27.440	7.438	1	3
-26.785	8.599	1	3
-27.378	7.863	1	3
-27.497	7.670	1	3
-27.163	7.558	1	3
-28.122	7.279	1	4
-27.992	7.279	1	4
-28.136	7.657	1	4
-27.992	8.230	1	4
-27.997	7.705	1	4
-28.208	7.821	1	4
-28.003	7.668	1	4
-28.049	8.240	1	4
-28.109	7.905	1	4
-27.933	7.821	1	4
-27.721	7.724	1	4
-27.633	8.038	1	4
-27.858	8.143	1	4
-27.897	7.835	1	4
-27.814	8.618	1	4
-27.936	7.846	1	4
-27.891	8.366	1	5
-27.682	8.055	1	5
-27.819	7.933	1	5
-27.859	8.138	1	5
-27.929	7.896	1	5
-27.898	8.104	1	5
-27.876	7.910	1	5
-27.745	7.962	1	5
-27.755	8.097	1	5
-27.803	8.314	1	5
-27.819	7.722	1	5
-27.822	7.907	1	5
-27.779	7.746	1	5
-27.752	7.600	1	5
-27.802	8.128	1	5
-27.845	8.055	1	5
-27.728	7.500	1	6
-27.676	7.744	1	6
-27.745	7.775	1	6
-26.755	9.149	1	6
-27.212	8.238	1	6
-27.755	7.589	1	6
-27.814	7.411	1	6
-27.724	7.616	1	6
-27.686	7.656	1	6
-27.784	7.623	1	6
-27.776	7.712	1	6
-27.661	7.682	1	6
-26.760	9.091	1	6
-26.486	9.275	1	6
-27.806	7.603	1	6
-27.684	7.702	1	6
-26.383	8.191	1	7
-26.235	7.666	1	7
-26.256	7.558	1	7
-26.322	7.487	1	7
-26.566	7.881	1	7
-26.708	7.289	1	7
-26.584	7.677	1	7
-26.624	7.570	1	7
-26.720	7.538	1	7
-26.541	7.803	1	7
-26.698	7.590	1	7
-26.763	7.657	1	7
-26.566	7.855	1	7
-26.725	7.599	1	7
-26.907	7.599	1	7
-26.795	7.733	1	7
-26.722	7.870	1	8
-26.810	7.853	1	8
-26.661	7.498	1	8
-26.362	7.986	1	8
-26.741	7.814	1	8
-26.666	7.685	1	8
-26.655	7.843	1	8
-26.685	7.778	1	8
-26.630	7.695	1	8
-26.552	7.925	1	8
-26.765	7.667	1	8
-26.795	7.988	1	8
-26.573	7.617	1	8
-26.704	7.619	1	8
-26.686	7.994	1	8
-26.167	7.996	1	9
-26.146	7.829	1	9
-26.194	7.601	1	9
-26.269	7.539	1	9
-26.136	7.749	1	9
-26.252	7.752	1	9
-26.056	7.950	1	9
-26.155	7.719	1	9
-26.333	7.797	1	9
-26.114	7.503	1	9
-26.087	7.907	1	9
-26.262	7.824	1	9
-25.979	8.073	1	9
-25.909	8.278	1	9
-26.216	8.285	1	10
-26.432	7.956	1	10
-25.572	8.448	1	10
-26.063	8.575	1	10
-25.735	8.448	1	10
-25.880	8.823	1	10
-25.780	8.216	1	10
-25.847	8.771	1	10
-25.614	8.664	1	10
-26.026	8.952	1	10
-26.272	8.566	1	10
-25.602	8.860	1	10
-25.654	8.999	1	10
-26.063	8.819	1	10
-26.390	8.484	1	10
-26.348	8.599	1	10
-26.173	8.487	1	10
-26.374	8.445	1	10
-26.503	8.426	1	10
-26.092	8.545	1	10
-26.099	8.056	1	10
-25.609	8.522	1	10
-26.251	8.451	1	10
-25.541	8.689	1	10
-25.396	8.553	1	10
-25.703	8.292	1	11
-25.560	8.220	1	11
-25.299	8.528	1	11
-25.824	8.064	1	11
-25.640	8.109	1	11
-25.627	8.439	1	11
-25.432	8.358	1	11
-25.889	8.348	1	11
-24.984	8.668	1	11
-25.738	8.037	1	11
