Sample.Num.Overall,Year.1,Year.2,Location,Spp,FG,Stage,ID.3,Island,Date.Sample,JulianDate.Sample,d15N,d13C
1,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP1,CHA,1/25/10,2010025,9.4,-23.2
2,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP2,CHA,1/25/10,2010025,9.1,-23
3,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP3,CHA,1/25/10,2010025,9.3,-23.4
4,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP4,CHA,1/25/10,2010025,8.9,-23.2
5,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP5,CHA,1/25/10,2010025,9,-23.2
6,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP6,CHA,1/25/10,2010025,9.1,-22.9
7,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP7,CHA,1/25/10,2010025,9.2,-22.8
8,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP8,CHA,1/25/10,2010025,9.1,-23.2
9,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP9,CHA,1/25/10,2010025,9,-23.2
10,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP10,CHA,1/25/10,2010025,9,-23
11,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP11,CHA,1/25/10,2010025,9.3,-22.8
12,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP12,CHA,1/25/10,2010025,9.1,-23.2
13,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP13,CHA,1/25/10,2010025,8.9,-22.9
14,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP14,CHA,1/25/10,2010025,9.1,-23.5
15,2009/2010,3,CHA,ADPE,Penguin,CK POP,CHA POP15,CHA,1/25/10,2010025,8.7,-23.1
16,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv229,-100,1/26/09,2009026,5.9,-25.3
17,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv230,-100,1/26/09,2009026,4.8,-26.5
18,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv231,-100,1/26/09,2009026,6.3,-25.0
19,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv232,-100,1/26/09,2009026,4.0,-28.1
20,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv233,-100,1/26/09,2009026,4.4,-27.9
21,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv234,-100,1/26/09,2009026,5.3,-27.8
22,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv235,-100,1/26/09,2009026,4.9,-25.7
23,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv297,ADPEdiet,1/1/11,2011001,5.9,-24.1
24,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv298,ADPEdiet,1/1/11,2011001,5.8,-23.5
25,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv299,ADPEdiet,1/1/11,2011001,5.4,-23.4
26,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv300,ADPEdiet,1/1/11,2011001,5.4,-21.4
27,2009/2010,3,CHA,E. superba,Baseline,Zoo,Inv301,ADPEdiet,1/1/11,2011001,5.4,-23.7
28,2009/2010,3,CHA,E. superba,Baseline,Zoo,21-11Lip205,-100.06,1/27/11,2011027,5.3,-23.0
29,2009/2010,3,CHA,E. superba,Baseline,Zoo,30-11Lip206,-100.06,1/27/11,2011027,5.1,-23.6
30,2009/2010,3,CHA,E. superba,Baseline,Zoo,44-11Lip204,-100.06,1/27/11,2011027,4.6,-23.4
31,2009/2010,3,CHA,E. superba,Baseline,Zoo,63-09Lip311,-100,1/26/09,2009026,4.4,-27.5
32,2009/2010,3,CHA,E. superba,Baseline,Zoo,64-09Lip315,-100,1/26/09,2009026,4.3,-27.1
